Format Version,1.23,Take Name,Take 2022-07-12 04.02.52 PM,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2022-07-12 04.02.52.994 PM,Capture Start Frame,1871939,Total Frames in Take,8731,Total Exported Frames,8731,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,-0.533992,0.512482,0.414237,-0.529738,1.852433,1.045251,1.428126,0.001283,1.854852,0.942040,1.513980,0.820661,1.865900,0.957206,1.331250,0.828424,1.982174,1.061411,1.433265,0.876619,1.714794,1.029499,1.424997,0.321300,1.847838,1.136735,1.529270,0.808025,1.849041,1.144612,1.335995,0.537883,1.854365,0.942582,1.514159,1.866192,0.956922,1.330808,1.982060,1.061628,1.433052,1.717670,1.029527,1.424295,1.848092,1.136378,1.528808,1.848693,1.144445,1.337393
7,0.019444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,-0.534880,0.512170,0.415210,-0.528381,1.849139,1.044471,1.428064,0.001252,1.851399,0.940946,1.513543,0.812417,1.862600,0.956768,1.330877,0.849857,1.978891,1.060494,1.433360,0.918670,1.711488,1.028857,1.424773,0.259751,1.844551,1.135590,1.529537,0.840726,1.845907,1.144171,1.336293,0.637504,1.850867,0.941901,1.514119,1.863085,0.956861,1.330375,1.978737,1.060084,1.432917,1.714016,1.028540,1.424509,1.844534,1.135295,1.529204,1.844857,1.144047,1.337948
9,0.025000,-0.536304,0.510294,0.414866,-0.529022,1.847109,1.044363,1.428261,0.001402,1.849914,0.940676,1.513527,0.690924,1.860846,0.956916,1.330882,0.823987,1.976796,1.060941,1.433448,0.844315,1.709523,1.028155,1.425088,0.359617,1.842234,1.135256,1.529924,0.888520,1.843342,1.144233,1.336696,0.508900,1.849348,0.941318,1.513878,1.861158,0.956666,1.330249,1.976500,1.061263,1.433371,1.712427,1.027943,1.424494,1.842725,1.134789,1.529338,1.842954,1.143947,1.338174
10,0.027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-0.538110,0.508598,0.414984,-0.528728,1.843507,1.043654,1.428343,0.001299,1.846664,0.939657,1.513219,0.768811,1.857519,0.956619,1.330635,0.812702,1.973138,1.060639,1.433578,0.888999,1.705975,1.027005,1.425126,0.257177,1.838345,1.134148,1.530347,0.775997,1.839399,1.143854,1.337155,0.611504,1.846220,0.940225,1.513538,1.857731,0.956565,1.330025,1.972793,1.060901,1.433573,1.708757,1.027096,1.424476,1.838717,1.133784,1.529871,1.839149,1.143344,1.338196
12,0.033333,-0.538950,0.507977,0.414576,-0.528790,1.841855,1.043268,1.428349,0.001412,1.845186,0.939200,1.513130,0.773365,1.856082,0.956352,1.330566,0.692945,1.971451,1.060509,1.433653,0.873493,1.704358,1.026347,1.425058,0.341262,1.836470,1.133658,1.530434,0.845965,1.837585,1.143544,1.337250,0.528849,1.844575,0.939830,1.513357,1.856415,0.955548,1.329699,1.971126,1.060887,1.433565,1.706919,1.026674,1.424528,1.836844,1.133239,1.530180,1.836931,1.143597,1.339017
13,0.036111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.038889,-0.539529,0.508456,0.415024,-0.527387,1.838307,1.042569,1.428493,0.001280,1.841312,0.938311,1.513054,0.781190,1.852587,0.955844,1.330549,0.814883,1.967919,1.059595,1.434085,0.918668,1.700791,1.025870,1.424901,0.385615,1.832867,1.132744,1.530765,0.924984,1.834369,1.143050,1.337607,0.379436,1.841208,0.939179,1.513020,1.852701,0.955393,1.329973,1.967731,1.059345,1.433994,1.703241,1.025826,1.424714,1.832801,1.132455,1.530813,1.833004,1.143542,1.339620
15,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.044444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
