,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Ball_10,Ball_10,Ball_10,Ball_10,Ball_10,Ball_10,Ball_10,Ball_10:Marker1,Ball_10:Marker1,Ball_10:Marker1,Ball_10:Marker10,Ball_10:Marker10,Ball_10:Marker10,Ball_10:Marker2,Ball_10:Marker2,Ball_10:Marker2,Ball_10:Marker3,Ball_10:Marker3,Ball_10:Marker3,Ball_10:Marker4,Ball_10:Marker4,Ball_10:Marker4,Ball_10:Marker5,Ball_10:Marker5,Ball_10:Marker5,Ball_10:Marker6,Ball_10:Marker6,Ball_10:Marker6,Ball_10:Marker7,Ball_10:Marker7,Ball_10:Marker7,Ball_10:Marker8,Ball_10:Marker8,Ball_10:Marker8,Ball_10:Marker9,Ball_10:Marker9,Ball_10:Marker9
,ID,"AF7A8C7C01E911ED5F75BB645DD4DAB6","AF7A8C7C01E911ED5F75BB645DD4DAB6","AF7A8C7C01E911ED5F75BB645DD4DAB6","AF7A8C7C01E911ED5F75BB645DD4DAB6","AF7A8C7C01E911ED5F75BB645DD4DAB6","AF7A8C7C01E911ED5F75BB645DD4DAB6","AF7A8C7C01E911ED5F75BB645DD4DAB6","E6BB0","E6BB0","E6BB0","E6960","E6960","E6960","CB80B89D01E911ED5F75BB645DD4DAB6","CB80B89D01E911ED5F75BB645DD4DAB6","CB80B89D01E911ED5F75BB645DD4DAB6","E6AB0","E6AB0","E6AB0","E6B40","E6B40","E6B40","E6C10","E6C10","E6C10","E6A30","E6A30","E6A30","E6AA0","E6AA0","E6AA0","E6A90","E6A90","E6A90","E6A10","E6A10","E6A10"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,0.052778,-0.664095,0.437248,0.369472,0.480918,1.539716,1.102382,1.537647,1.560961,0.973522,1.579384,1.422805,1.161906,1.519575,,,,1.539281,0.997082,1.453075,1.433903,1.024541,1.564556,,,,1.535642,1.211314,1.614883,1.644366,1.180734,1.513400,1.534590,1.132060,1.408744,1.526545,1.225961,1.496171
20,0.055556,-0.664951,0.435361,0.373138,0.478612,1.539919,1.102950,1.537225,1.560198,0.973796,1.579476,1.422066,1.161840,1.519493,,,,1.539155,0.997692,1.452847,1.433299,1.024362,1.564405,,,,1.534643,1.211441,1.614952,1.644210,1.183002,1.512371,1.534090,1.131788,1.408491,1.525633,1.226140,1.496280
21,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.061111,-0.666676,0.432526,0.371894,0.479749,1.537995,1.102842,1.537601,1.559005,0.974122,1.579332,1.419973,1.161545,1.519350,,,,1.538690,0.997120,1.453005,1.432041,1.024091,1.564051,,,,1.532270,1.211586,1.615370,1.641535,1.182117,1.513684,1.532851,1.132313,1.408713,1.523204,1.226742,1.496510
23,0.063889,-0.667134,0.430767,0.373668,0.479316,1.537357,1.103349,1.537550,1.558325,0.974389,1.579373,1.419048,1.161427,1.519309,,,,1.538141,0.997691,1.452789,1.431543,1.023918,1.563864,,,,1.530814,1.211805,1.615491,1.641034,1.184036,1.513778,1.531802,1.133129,1.409045,1.522347,1.226513,1.496452
24,0.066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.069444,-0.668458,0.428427,0.372264,0.480659,1.535706,1.103167,1.537643,1.557200,0.974773,1.579332,1.417650,1.160744,1.518544,,,,1.537354,0.997843,1.452600,1.430384,1.023715,1.563475,,,,1.528974,1.211778,1.615597,1.638896,1.183274,1.514931,1.530775,1.133072,1.408960,1.520310,1.226951,1.496642
26,0.072222,-0.669154,0.427023,0.374662,0.479075,1.535258,1.103700,1.537443,1.556339,0.975057,1.579497,1.417062,1.160401,1.518340,,,,1.536932,0.997962,1.452541,1.429637,1.023648,1.563344,,,,1.527695,1.211873,1.615714,1.638567,1.185567,1.513885,1.529966,1.133384,1.408976,1.519043,1.227399,1.497014
27,0.075000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.077778,-0.671246,0.423971,0.374158,0.479253,1.533520,1.103981,1.537585,1.555188,0.975434,1.579562,1.414434,1.159836,1.518049,,,,1.536083,0.998333,1.452697,1.428343,1.023420,1.562807,,,,1.525372,1.212108,1.615863,1.636538,1.186449,1.514624,1.528821,1.133731,1.409024,1.517467,1.227512,1.497019
