Format Version,1.23,Take Name,Take 2022-07-12 04.00.33 PM,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2022-07-12 04.00.33.789 PM,Capture Start Frame,1821825,Total Frames in Take,8554,Total Exported Frames,8554,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Ball_6,Ball_6,Ball_6,Ball_6,Ball_6,Ball_6,Ball_6,Ball_6:Marker1,Ball_6:Marker1,Ball_6:Marker1,Ball_6:Marker2,Ball_6:Marker2,Ball_6:Marker2,Ball_6:Marker3,Ball_6:Marker3,Ball_6:Marker3,Ball_6:Marker4,Ball_6:Marker4,Ball_6:Marker4,Ball_6:Marker5,Ball_6:Marker5,Ball_6:Marker5,Ball_6:Marker6,Ball_6:Marker6,Ball_6:Marker6
,ID,"DDE020C601EA11ED5F75BB645DD4DAB6","DDE020C601EA11ED5F75BB645DD4DAB6","DDE020C601EA11ED5F75BB645DD4DAB6","DDE020C601EA11ED5F75BB645DD4DAB6","DDE020C601EA11ED5F75BB645DD4DAB6","DDE020C601EA11ED5F75BB645DD4DAB6","DDE020C601EA11ED5F75BB645DD4DAB6","E8D00","E8D00","E8D00","E8CD0","E8CD0","E8CD0","E8CE0","E8CE0","E8CE0","E8C00","E8C00","E8C00","E8B80","E8B80","E8B80","E8C70","E8C70","E8C70"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
23,0.063889,-0.811599,0.542979,-0.213085,-0.032804,1.605505,1.109067,1.507391,1.574651,0.980623,1.532443,1.726338,1.080439,1.549020,1.572830,1.147584,1.626831,1.637726,1.069260,1.380332,1.478320,1.141836,1.474738,1.643907,1.236330,1.482102
24,0.066667,-0.812122,0.542722,-0.212427,-0.028010,1.604193,1.109142,1.507920,1.573603,0.980380,1.531759,1.725021,1.080456,1.549906,1.570888,1.146429,1.627614,1.636979,1.070320,1.380633,1.477061,1.141715,1.474998,1.642296,1.236960,1.483634
25,0.069444,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.072222,-0.814001,0.541162,-0.210308,-0.017785,1.601090,1.108994,1.508887,1.571297,0.979303,1.530034,1.721663,1.080583,1.551413,1.567084,1.144137,1.628989,1.635141,1.073067,1.381195,1.474084,1.141487,1.475806,1.638284,1.237525,1.487373
27,0.075000,-0.814625,0.540542,-0.209820,-0.013276,1.599842,1.108989,1.509290,1.570465,0.979065,1.529254,1.720269,1.080824,1.552155,1.565211,1.143106,1.629692,1.634341,1.074249,1.381592,1.472957,1.141359,1.476112,1.636804,1.237872,1.488983
28,0.077778,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.080556,-0.815838,0.539675,-0.207718,-0.003527,1.597101,1.108966,1.510390,1.568505,0.978594,1.528069,1.717678,1.080801,1.553442,1.561567,1.140676,1.630984,1.632731,1.076880,1.382071,1.470365,1.141225,1.477065,1.633325,1.238506,1.492679
30,0.083333,-0.816648,0.538850,-0.206701,0.001021,1.595805,1.108984,1.510943,1.567644,0.978370,1.527450,1.715980,1.080922,1.554379,1.559807,1.139445,1.631672,1.632074,1.078008,1.382500,1.469192,1.141078,1.477482,1.631604,1.238814,1.494327
31,0.086111,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.088889,-0.817632,0.538027,-0.204695,0.010259,1.593278,1.109078,1.512115,1.565803,0.977999,1.526260,1.713641,1.081031,1.555552,1.556377,1.137070,1.632957,1.630476,1.080465,1.383388,1.466351,1.140643,1.478042,1.628189,1.239306,1.497783
33,0.091667,-0.817589,0.538273,-0.203973,0.014361,1.592033,1.109015,1.512693,1.564554,0.977649,1.525909,1.712641,1.081110,1.556020,1.554708,1.135902,1.633644,1.629756,1.081758,1.383705,1.465241,1.140482,1.478463,1.626725,1.239340,1.499493
34,0.094444,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.097222,-0.819546,0.536636,-0.199573,0.023177,1.589731,1.109199,1.513624,1.563226,0.977501,1.524356,1.709321,1.080832,1.557969,1.551331,1.133523,1.634926,1.628015,1.084302,1.384360,1.462791,1.140343,1.479562,1.623662,1.239938,1.502972
36,0.100000,-0.819421,0.536099,-0.200961,0.027611,1.588146,1.108747,1.514497,1.562065,0.976740,1.524547,1.708283,1.080771,1.558480,1.549836,1.132148,1.635498,1.627341,1.085420,1.384933,1.461732,1.140174,1.480002,1.621817,1.240099,1.504871
37,0.102778,-0.819613,0.535866,-0.200124,0.032141,1.587057,1.108719,1.515014,1.561294,0.976553,1.523935,1.707258,1.080845,1.559040,1.548253,1.130984,1.636093,1.626670,1.086659,1.385320,1.460784,1.139914,1.480444,1.620436,1.240252,1.506659
38,0.105556,-0.820425,0.535143,-0.198072,0.035963,1.586338,1.109359,1.515779,1.560536,0.976436,1.523540,1.707467,1.082520,1.559484,1.546743,1.129816,1.636683,1.626057,1.087818,1.385777,1.459129,1.139705,1.480651,1.619051,1.240218,1.508254
39,0.108333,,,,,,,,,,,,,,,,,,,,,,,,,
